dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,Agglomerative,6.0,euclidean,average,0.971427209005924,0.9714855829952284,0.2089381224969137,0.3615356622998544,1.2077436665360632,0.4485538086248987,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,manhattan,average,0.9601617500011344,0.9602178749919404,0.1897487635794428,0.3030385735080058,1.192827715206086,0.3784790263982047,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,cosine,average,1.162685582996346,1.1627053330012131,0.1998665297790567,0.3094068413391557,1.2457056353374585,0.3831586496192946,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,euclidean,single,0.2280850409879349,0.2281636670231819,-1.2221816273607628e-06,0.1045305676855895,0.7931778139297405,0.182050980767641,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,manhattan,single,0.1922003749932628,0.1922478329797741,-1.5695853056370098e-05,0.1054403202328966,0.9270378943894868,0.1820288955634824,,,,,,,,,,Original,,
pen-based,Agglomerative,6.0,cosine,single,0.5118104589928407,0.5118479169905186,-1.2958231263405991e-06,0.1045305676855895,0.8325530128859183,0.1820509669828848,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,euclidean,complete,0.95646362498519,0.9565195420000236,0.3019464300276007,0.4139374090247453,2.020427419230207,0.4663109831035625,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,manhattan,complete,0.973608875006903,0.9736448749899864,0.2070682432083496,0.4213973799126637,1.53915059123998,0.4562099440076146,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,cosine,complete,1.1484144999994896,1.148434750008164,0.2696896218678652,0.4254912663755458,1.669016198514583,0.4554085749140431,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,euclidean,average,0.9953960420098156,0.9954337499802932,0.2081952464315288,0.3615356622998544,1.1784080757261397,0.4480465996976894,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,manhattan,average,0.9705113749951124,0.9705720419879073,0.1899581279208774,0.3077692867540029,1.2079507478926204,0.3798308383749383,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,cosine,average,1.1356799170025624,1.1357193750154693,0.2180134709961552,0.3662663755458515,1.1862101627658272,0.4493315879251072,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,euclidean,single,0.2275060420215595,0.227566834015306,-4.142587035011112e-06,0.1047125181950509,0.7998232833506321,0.1820468074654921,,,,,,,,,,Original,,
