dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_5D,105,5,KMeans_FEKM,8,0,26277.33003065465,4.290743166115135,0.0100283916158471,0.7792064207034929,1.2739546235086665,0.3384321012797902
adult,PCA_5D,105,5,KMeans_FEKM,9,0,24484.45051299265,4.352215041872114,0.0080634416373878,0.7792883174317186,1.1716344759696742,0.3384159607216518
adult,PCA_5D,105,5,KMeans_FEKM,10,0,22401.172447283618,4.543550542090088,0.0013623614397584,0.779308791613775,1.162395141590939,0.3384087365240211
pen-based,PCA_2D,16,2,KMeans_FEKM,2,0,5232.5809036779865,0.166336250025779,0.1225147014907075,0.206513828238719,1.1348974111756838,0.2991292446052193
pen-based,PCA_2D,16,2,KMeans_FEKM,3,0,2816.008017792995,0.1627050000242889,0.1990632610408887,0.3010371179039301,0.7527041819180945,0.3583684879577157
pen-based,PCA_2D,16,2,KMeans_FEKM,4,0,1718.518375355204,0.1658511250279843,0.2836700868315898,0.3568959243085881,0.6655988228106728,0.4604711082802526
pen-based,PCA_2D,16,2,KMeans_FEKM,5,0,1094.5586942454945,0.1660454580560326,0.3751673713006334,0.4540574963609898,0.5938925993510015,0.5390297443282719
pen-based,PCA_2D,16,2,KMeans_FEKM,6,0,927.6442879951912,0.1696060420945286,0.4236152101331837,0.5094614264919942,0.6794357093991293,0.584625873444782
pen-based,PCA_2D,16,2,KMeans_FEKM,7,0,804.033945768362,0.1809315839782357,0.4206052654141364,0.5287481804949054,0.7274666205747841,0.5791517811837487
pen-based,PCA_2D,16,2,KMeans_FEKM,8,0,705.4389286835072,0.1843866249546408,0.4237919114441589,0.5572234352256187,0.7557946866760478,0.5978801857977653
pen-based,PCA_2D,16,2,KMeans_FEKM,9,0,585.5522914780043,0.1911739157512784,0.4220030483212361,0.5909752547307132,0.7670681758623211,0.6069449618513851
pen-based,PCA_2D,16,2,KMeans_FEKM,10,0,519.758707414433,0.2039454584009945,0.4140964800658228,0.5900655021834061,0.7711572988214846,0.5879320219518844
pen-based,PCA_3D,16,3,KMeans_FEKM,2,0,7733.104165642346,0.1801388328894972,0.1305790158712732,0.2064228529839883,1.424333715947068,0.3021412488982063
pen-based,PCA_3D,16,3,KMeans_FEKM,3,0,5189.048041165699,0.1880173753015697,0.2031504768406789,0.3048580786026201,0.9913342745378184,0.3859970895271314
pen-based,PCA_3D,16,3,KMeans_FEKM,4,0,3707.150957571276,0.1930841668508947,0.2883458303964006,0.3912845705967976,0.8804482396515708,0.4485243640337514
pen-based,PCA_3D,16,3,KMeans_FEKM,5,0,2789.676345420712,0.1971897496841848,0.3203555255032903,0.4467794759825327,0.8148506082314653,0.5047843098125325
pen-based,PCA_3D,16,3,KMeans_FEKM,6,0,2278.0291150839976,0.1905168751254677,0.3780872975980816,0.4985443959243086,0.8391958836427892,0.549042495783691
pen-based,PCA_3D,16,3,KMeans_FEKM,7,0,1881.9725241231936,0.241468375083059,0.4582983037095057,0.5791484716157205,0.7729610933937857,0.6337912004992178
pen-based,PCA_3D,16,3,KMeans_FEKM,8,0,1767.1737991536727,0.1988730002194643,0.4826437678252784,0.6267285298398836,0.8804037860070335,0.654805775191755
pen-based,PCA_3D,16,3,KMeans_FEKM,9,0,1543.1292218372066,0.2240110840648412,0.4703571286636359,0.6394650655021834,0.8529680890943583,0.6480908127416302
pen-based,PCA_3D,16,3,KMeans_FEKM,10,0,1472.77321589425,0.2332301251590252,0.4673591905374623,0.6568413391557496,0.8607997233729057,0.6482859079666294
pen-based,PCA_5D,16,5,KMeans_FEKM,2,0,10139.571329733391,0.2198802921921014,0.1365703460476313,0.2064228529839883,1.666340749967714,0.3046211238781176
pen-based,PCA_5D,16,5,KMeans_FEKM,3,0,7566.242298730487,0.2244507502764463,0.2343317622850686,0.300127365356623,1.3224559701399785,0.3819673040590169
pen-based,PCA_5D,16,5,KMeans_FEKM,4,0,6270.221922858881,0.224233292043209,0.2933307557442679,0.3883733624454148,1.3162809691294155,0.4561924948432707
pen-based,PCA_5D,16,5,KMeans_FEKM,5,0,5357.147820820629,0.2299979999661445,0.3280061703565415,0.4434133915574964,1.2318065054958507,0.5143797843464453
pen-based,PCA_5D,16,5,KMeans_FEKM,6,0,4102.972897191547,0.2322079157456755,0.4137307914980934,0.5410298398835517,0.99468014717537,0.5856213559617184
pen-based,PCA_5D,16,5,KMeans_FEKM,7,0,3539.845203539902,0.2423322079703211,0.4649145806313667,0.5924308588064047,0.9585238837934384,0.6335687413051251
pen-based,PCA_5D,16,5,KMeans_FEKM,8,0,3253.1677762709137,0.2483860836364329,0.454186495314292,0.6011644832605532,0.9932415318507032,0.629641949730829
pen-based,PCA_5D,16,5,KMeans_FEKM,9,0,2969.1113839877353,0.2632198329083621,0.4703500336649483,0.6383733624454149,0.9438509764117966,0.6555691369057015
pen-based,PCA_5D,16,5,KMeans_FEKM,10,0,2826.3919266243574,0.2631378332152962,0.4767724325977982,0.6724890829694323,0.9294669701424014,0.6489347794798731
mushroom,PCA_2D,111,2,KMeans_FEKM,2,0,16478.02935687337,0.0893214577808976,0.0870385805897877,0.3874938453963564,0.5768397557821554,0.4514197224845337
mushroom,PCA_2D,111,2,KMeans_FEKM,3,0,2694.1124623589476,0.0900578750297427,0.0986242463178286,0.3874938453963564,0.2770811888928958,0.4371218750972428
mushroom,PCA_2D,111,2,KMeans_FEKM,4,0,1716.7073744613128,0.0940642496570944,0.1693973855622711,0.491999015263417,0.608676026358249,0.4916244918718436
mushroom,PCA_2D,111,2,KMeans_FEKM,5,0,1181.5444889451223,0.0927024162374436,0.1327477112361667,0.4560561299852289,0.5778065470112832,0.4425010237767821
mushroom,PCA_2D,111,2,KMeans_FEKM,6,0,971.67362981598,0.0981827923096716,0.1261923950479707,0.4558099458394879,0.6815628994413824,0.4266950516598196
mushroom,PCA_2D,111,2,KMeans_FEKM,7,0,820.5512407411453,0.1258209161460399,0.134307046077019,0.4767355982274741,0.7124235573024658,0.4251021598216437
mushroom,PCA_2D,111,2,KMeans_FEKM,8,0,739.7645181399216,0.1125670839101076,0.1299595067899094,0.4768586903003446,0.6867520150217521,0.4216884107350171
mushroom,PCA_2D,111,2,KMeans_FEKM,9,0,714.6834317099431,0.1089424998499453,0.1329016369098151,0.4756277695716396,0.6089107014984632,0.4242700948705758
mushroom,PCA_2D,111,2,KMeans_FEKM,10,0,571.207635887046,0.1226414158008992,0.1705974366509371,0.5208025603151157,0.6453723215046137,0.4580741691134735
mushroom,PCA_3D,111,3,KMeans_FEKM,2,0,20370.57134999274,0.098635375034064,0.083514079406497,0.3874938453963564,1.0728645749685546,0.4323504447366795
mushroom,PCA_3D,111,3,KMeans_FEKM,3,0,10140.001935912544,0.1004249169491231,0.0973628013639059,0.3874938453963564,0.5112691329727875,0.4364353244968623
mushroom,PCA_3D,111,3,KMeans_FEKM,4,0,4941.086480142422,0.1103527080267667,0.2466651114995565,0.5525603151157066,0.5582348334167073,0.5538032908234105
mushroom,PCA_3D,111,3,KMeans_FEKM,5,0,3041.6922165873575,0.1040557082742452,0.2602519134736209,0.5563761693746923,0.631996055073764,0.5693701264979909
mushroom,PCA_3D,111,3,KMeans_FEKM,6,0,2323.587703788018,0.1062536248937249,0.2945633561378259,0.5564992614475628,0.6054554490363167,0.5865886306896538
mushroom,PCA_3D,111,3,KMeans_FEKM,7,0,2115.661347815062,0.1208779579028487,0.2936349355928345,0.5566223535204333,0.8212724287196124,0.5699223385545175
mushroom,PCA_3D,111,3,KMeans_FEKM,8,0,1845.3347927188504,0.1307934997603297,0.2726480432175841,0.5576070901033974,0.8977525047278959,0.5412121152165297
mushroom,PCA_3D,111,3,KMeans_FEKM,9,0,1600.6857335248676,0.135506416670978,0.2837971281901721,0.5633924175283112,0.8855728113269795,0.5398644932462814
mushroom,PCA_3D,111,3,KMeans_FEKM,10,0,1387.0258586303353,0.1505632922053337,0.2937468174544284,0.5917035942885278,0.813952500587636,0.5456985986625131
mushroom,PCA_5D,111,5,KMeans_FEKM,2,0,29751.558602821373,0.1174184172414243,0.083514079406497,0.3874938453963564,1.289459233283878,0.4323504447366795
mushroom,PCA_5D,111,5,KMeans_FEKM,3,0,19465.507241600164,0.117681167088449,0.0976768742444354,0.3874938453963564,0.7146633560195887,0.4366070950547582
mushroom,PCA_5D,111,5,KMeans_FEKM,4,0,13510.942926376823,0.1274670828133821,0.1704673749858449,0.517479074347612,0.8378479250045245,0.5155846064679722
mushroom,PCA_5D,111,5,KMeans_FEKM,5,0,8266.855530805991,0.1247270000167191,0.2277539028812183,0.551944854751354,0.7259565047612566,0.5369308590224471
mushroom,PCA_5D,111,5,KMeans_FEKM,6,0,4999.269589997095,0.1249830001033842,0.2682646917415343,0.551944854751354,0.6446200956959339,0.550240706330983
mushroom,PCA_5D,111,5,KMeans_FEKM,7,0,3991.600870793852,0.1349029168486595,0.2936016339190425,0.5637616937469226,0.6949693096481593,0.5686602853210317
